date,cpd_crashes
2024-01-01,62
2024-01-02,69
2024-01-03,79
2024-01-04,73
2024-01-05,87
2024-01-06,65
2024-01-07,60
2024-01-08,86
2024-01-09,130
2024-01-10,113
2024-01-11,92
2024-01-12,97
2024-01-13,75
2024-01-14,52
2024-01-15,49
2024-01-16,77
2024-01-17,88
2024-01-18,56
2024-01-19,83
2024-01-20,74
2024-01-21,60
2024-01-22,58
2024-01-23,97
2024-01-24,82
2024-01-25,90
2024-01-26,78
2024-01-27,60
2024-01-28,74
2024-01-29,90
2024-01-30,70
2024-01-31,53
2024-02-01,81
2024-02-02,90
2024-02-03,60
2024-02-04,55
2024-02-05,78
2024-02-06,55
2024-02-07,72
2024-02-08,55
2024-02-09,77
2024-02-10,59
2024-02-11,51
2024-02-12,54
2024-02-13,96
2024-02-14,84
2024-02-15,60
2024-02-16,98
2024-02-17,89
2024-02-18,39
2024-02-19,64
2024-02-20,77
2024-02-21,83
2024-02-22,71
2024-02-23,86
2024-02-24,60
2024-02-25,60
2024-02-26,78
2024-02-27,65
2024-02-28,80
2024-02-29,80
2024-03-01,65
2024-03-02,86
2024-03-03,90
2024-03-04,83
2024-03-05,103
2024-03-06,92
2024-03-07,78
2024-03-08,125
2024-03-09,97
2024-03-10,70
2024-03-11,69
2024-03-12,112
2024-03-13,90
2024-03-14,97
2024-03-15,86
2024-03-16,59
2024-03-17,81
2024-03-18,82
2024-03-19,58
2024-03-20,101
2024-03-21,74
2024-03-22,66
2024-03-23,87
2024-03-24,63
2024-03-25,100
2024-03-26,63
2024-03-27,90
2024-03-28,104
2024-03-29,85
2024-03-30,51
2024-03-31,63
2024-04-01,57
2024-04-02,92
2024-04-03,85
2024-04-04,112
2024-04-05,72
2024-04-06,105
2024-04-07,86
2024-04-08,92
2024-04-09,98
2024-04-10,122
2024-04-11,100
2024-04-12,96
2024-04-13,84
2024-04-14,96
2024-04-15,117
2024-04-16,84
2024-04-17,87
2024-04-18,130
2024-04-19,98
2024-04-20,73
2024-04-21,57
2024-04-22,55
2024-04-23,73
2024-04-24,92
2024-04-25,91
2024-04-26,89
2024-04-27,78
2024-04-28,55
2024-04-29,103
2024-04-30,124
2024-05-01,92
2024-05-02,103
2024-05-03,125
2024-05-04,105
2024-05-05,82
2024-05-06,144
2024-05-07,74
2024-05-08,128
2024-05-09,92
2024-05-10,89
2024-05-11,74
2024-05-12,82
2024-05-13,93
2024-05-14,129
2024-05-15,105
2024-05-16,81
2024-05-17,94
2024-05-18,91
2024-05-19,59
2024-05-20,79
2024-05-21,82
2024-05-22,86
2024-05-23,92
2024-05-24,108
2024-05-25,80
2024-05-26,101
2024-05-27,62
2024-05-28,89
2024-05-29,80
2024-05-30,71
2024-05-31,62
2024-06-01,79
2024-06-02,75
2024-06-03,89
2024-06-04,75
2024-06-05,87
2024-06-06,54
2024-06-07,116
2024-06-08,69
2024-06-09,29
2024-06-10,80
2024-06-11,96
2024-06-12,95
2024-06-13,82
2024-06-14,87
2024-06-15,61
2024-06-16,85
2024-06-17,85
2024-06-18,95
2024-06-19,63
2024-06-20,90
2024-06-21,63
2024-06-22,92
2024-06-23,62
2024-06-24,66
2024-06-25,66
2024-06-26,114
2024-06-27,108
2024-06-28,85
2024-06-29,95
2024-06-30,71
2024-07-01,78
2024-07-02,87
2024-07-03,87
2024-07-04,64
2024-07-05,100
2024-07-06,73
2024-07-07,61
2024-07-08,65
2024-07-09,78
2024-07-10,95
2024-07-11,89
2024-07-12,88
2024-07-13,54
2024-07-14,56
2024-07-15,88
2024-07-16,58
2024-07-17,100
2024-07-18,61
2024-07-19,94
2024-07-20,68
2024-07-21,61
2024-07-22,105
2024-07-23,66
2024-07-24,96
2024-07-25,68
2024-07-26,80
2024-07-27,89
2024-07-28,103
2024-07-29,86
2024-07-30,94
2024-07-31,105
2024-08-01,101
2024-08-02,130
2024-08-03,55
2024-08-04,94
2024-08-05,65
2024-08-06,68
2024-08-07,80
2024-08-08,39
2024-08-09,68
2024-08-10,78
2024-08-11,54
2024-08-12,57
2024-08-13,61
2024-08-14,94
2024-08-15,80
2024-08-16,122
2024-08-17,50
2024-08-18,88
2024-08-19,106
2024-08-20,72
2024-08-21,109
2024-08-22,114
2024-08-23,95
2024-08-24,90
2024-08-25,99
2024-08-26,78
2024-08-27,94
2024-08-28,75
2024-08-29,95
2024-08-30,140
2024-08-31,70
2024-09-01,90
2024-09-02,55
2024-09-03,122
2024-09-04,120
2024-09-05,92
2024-09-06,116
2024-09-07,69
2024-09-08,42
2024-09-09,89
2024-09-10,103
2024-09-11,109
2024-09-12,98
2024-09-13,109
2024-09-14,62
2024-09-15,91
2024-09-16,70
2024-09-17,76
2024-09-18,101
2024-09-19,118
2024-09-20,113
2024-09-21,87
2024-09-22,64
2024-09-23,114
2024-09-24,152
2024-09-25,98
2024-09-26,72
2024-09-27,178
2024-09-28,158
2024-09-29,73
2024-09-30,97
2024-10-01,86
2024-10-02,97
2024-10-03,88
2024-10-04,121
2024-10-05,83
2024-10-06,76
2024-10-07,102
2024-10-08,89
2024-10-09,102
2024-10-10,81
2024-10-11,102
2024-10-12,86
2024-10-13,77
2024-10-14,63
2024-10-15,87
2024-10-16,100
2024-10-17,98
2024-10-18,91
2024-10-19,87
2024-10-20,83
2024-10-21,91
2024-10-22,95
2024-10-23,64
2024-10-24,116
2024-10-25,83
2024-10-26,59
2024-10-27,74
2024-10-28,72
2024-10-29,82
2024-10-30,90
2024-10-31,131
2024-11-01,140
2024-11-02,88
2024-11-03,82
2024-11-04,85
2024-11-05,92
2024-11-06,163
2024-11-07,89
2024-11-08,119
2024-11-09,53
2024-11-10,126
2024-11-11,62
2024-11-12,82
2024-11-13,87
2024-11-14,149
2024-11-15,91
2024-11-16,72
2024-11-17,50
2024-11-18,63
2024-11-19,127
2024-11-20,112
2024-11-21,107
2024-11-22,85
2024-11-23,54
2024-11-24,59
2024-11-25,97
2024-11-26,77
2024-11-27,78
2024-11-28,96
2024-11-29,65
2024-11-30,64
2024-12-01,132
2024-12-02,75
2024-12-03,96
2024-12-04,79
2024-12-05,92
2024-12-06,99
2024-12-07,79
2024-12-08,73
2024-12-09,113
2024-12-10,123
2024-12-11,98
2024-12-12,65
2024-12-13,79
2024-12-14,93
2024-12-15,110
2024-12-16,109
2024-12-17,98
2024-12-18,97
2024-12-19,72
2024-12-20,112
2024-12-21,96
2024-12-22,65
2024-12-23,72
2024-12-24,68
2024-12-25,47
2024-12-26,69
2024-12-27,103
2024-12-28,49
2024-12-29,57
2024-12-30,57
2024-12-31,58
